order_id,product_id,amount_paid,quantity_purchased,customer_id,order_date
1,79,1809100.0,10,95,2024-02-11
2,75,361780.0,1,40,2024-02-28
3,80,862940.0,13,100,2025-04-29
4,65,2439200.0,16,100,2025-06-24
5,59,3394820.0,11,69,2025-04-24
6,29,2263400.0,10,39,2025-05-08
7,49,2022720.0,12,51,2025-02-09
8,69,2304270.0,9,35,2025-02-21
9,61,833450.0,5,13,2024-12-16
10,37,496120.0,2,83,2023-09-01
11,5,907680.0,16,51,
12,83,481600.0,16,70,2023-10-17
13,95,645000.0,10,44,2025-07-16
15,31,930880.0,4,8,2023-12-11
16,79,1447280.0,8,29,2024-03-10
17,28,752960.0,8,98,2025-01-02
18,65,762250.0,5,26,2025-10-23
19,66,5185800.0,15,54,2024-12-25
20,45,96150.0,3,90,2023-08-02
21,83,361200.0,12,54,2024-06-27
22,16,1035450.0,13,23,2025-06-16
23,30,2936400.0,15,32,2024-10-03
24,31,698160.0,3,27,2023-06-07
25,100,152700.0,5,8,2024-03-24
26,85,56000.0,8,67,2024-09-03
27,83,391300.0,13,86,2024-04-23
28,19,687480.0,2,60,2024-01-08
29,93,24740.0,2,25,2025-04-21
30,43,303960.0,1,39,2023-12-13
31,71,1780400.0,10,42,2024-11-29
32,41,1206480.0,12,27,2023-07-18
33,43,3951480.0,13,30,2024-08-02
34,22,1980960.0,12,94,2025-08-06
35,86,146590.0,1,7,2025-10-11
37,23,1452840.0,4,14,2024-03-02
38,90,280400.0,10,29,2025-10-17
39,90,84120.0,3,22,2024-08-19
41,97,1160900.0,13,92,2024-03-04
42,89,440820.0,3,93,2024-05-21
43,4,2382840.0,9,82,2024-05-09
44,32,406290.0,3,92,2023-06-11
45,98,633680.0,4,35,2023-10-12
46,50,2644000.0,10,2,2025-07-08
47,39,3370240.0,16,35,2023-11-20
48,26,277720.0,4,59,2023-06-08
49,77,3383200.0,10,18,2025-05-13
50,32,1760590.0,13,42,2025-08-14
51,60,2994810.0,7,91,2024-03-26
52,20,3087560.0,14,92,2023-08-16
53,47,142830.0,3,90,2024-02-11
54,56,248900.0,1,14,2024-01-15
55,65,1829400.0,12,20,2024-08-10
56,27,174080.0,16,67,2023-09-09
57,87,2017120.0,8,22,2024-12-18
58,4,1853320.0,7,95,2024-08-14
59,24,2949540.0,11,47,2023-09-26
60,59,1851720.0,6,80,2025-05-24
61,19,4468620.0,13,66,2023-10-21
62,37,1488360.0,6,18,2024-09-05
63,53,3492800.0,16,88,2025-09-10
64,100,488640.0,16,59,2023-09-25
65,28,376480.0,4,55,2025-04-01
66,100,213780.0,7,31,2025-01-24
67,73,1911690.0,9,45,2023-11-21
68,97,178600.0,2,53,2025-11-05
69,19,3093660.0,9,74,2024-06-20
70,63,229730.0,1,42,2025-10-16
71,55,456320.0,16,28,2025-09-27
72,81,135600.0,1,59,2025-10-27
73,36,3867360.0,12,12,2024-06-16
74,13,1142540.0,7,1,
75,62,236240.0,8,10,2025-06-19
76,87,756420.0,3,19,2023-06-10
77,28,376480.0,4,12,2023-06-10
78,77,3383200.0,10,93,2025-09-05
79,31,3025360.0,13,64,
80,54,,6,47,2025-07-29
81,92,4086740.0,14,65,2024-07-17
82,69,3328390.0,13,42,2025-07-22
83,56,3733500.0,15,15,2023-07-28
84,67,1395810.0,9,67,2023-10-09
85,34,126300.0,3,92,2024-06-11
86,30,195760.0,1,95,2025-01-11
87,92,4086740.0,14,95,2024-11-02
88,67,2016170.0,13,6,2024-09-20
89,95,516000.0,8,80,2025-01-27
90,4,,12,30,2025-12-05
91,31,3723520.0,16,54,2023-10-25
92,11,1485960.0,4,75,2025-03-15
93,51,2093850.0,11,90,2024-06-03
94,16,955800.0,12,69,2023-12-31
95,28,470600.0,5,42,2024-02-11
96,72,,8,96,2023-09-14
97,81,406800.0,3,83,2024-02-22
98,43,607920.0,2,16,2023-07-23
99,24,2413260.0,9,36,2023-01-11
100,18,1315510.0,7,54,2025-08-26
